"Company","ProblemCount","Problems"
"Nykaa","2","Longest Palindromic Substring | Reverse Linked List II"
"Observer.ai","1","Make K-Subarray Sums Equal"
"OKCredit","1","Add Two Numbers II"
"Ola","12","Copy List with Random Pointer | Counting Bits | Find the Duplicate Number | Letter Combinations of a Phone Number | Linked List Cycle | Longest Increasing Subsequence | LRU Cache | Minimum Deletions to Make Character Frequencies Unique | Minimum Number of Taps to Open to Water a Garden | Peak Index in a Mountain Array | Reverse Linked List II | Unique Paths"
"OLX","1","Validate Binary Tree Nodes"
"OLX Group","2","Reverse Linked List II | Word Break"
"One Convergence","1","Counting Bits"
"One Plus","1","Design HashMap"
"Oodles Technologies Pvt Ltd","1","Linked List Cycle"
"Opendoor","2","Design Excel Sum Formula | Game of Life"
"OpenText","1","Largest 3-Same-Digit Number in String"
"Oportun","1","Implement Stack using Queues"
"Optum","8","Bank Account Summary | Excel Sheet Column Title | Interleaving String | Kth Largest Element in an Array | LRU Cache | Median of Two Sorted Arrays | Reverse Prefix of Word | Search in Rotated Sorted Array"
"Oracle","136","3Sum | Add Strings | Add Two Numbers | Add Two Numbers II | All Ancestors of a Node in a Directed Acyclic Graph | Angle Between Hands of a Clock | Asteroid Collision | Backspace String Compare | Basic Calculator II | Best Time to Buy and Sell Stock | Best Time to Buy and Sell Stock II | Binary Tree Inorder Traversal | Binary Tree Level Order Traversal | Binary Tree Maximum Path Sum | Binary Tree Right Side View | Binary Tree Zigzag Level Order Traversal | Break a Palindrome | Capacity To Ship Packages Within D Days | Coin Change II | Combination Sum II | Convert Binary Number in a Linked List to Integer | Convert Sorted Array to Binary Search Tree | Count Binary Substrings | Count Distinct Numbers on Board | Count Pairs Of Similar Strings | Count Palindromic Subsequences | Count the Number of Good Subsequences | Count Ways To Build Good Strings | Count Ways to Group Overlapping Ranges | Course Schedule | Decode String | Delete Duplicate Emails | Delete Node in a BST | Design Browser History | Design HashMap | Evaluate Reverse Polish Notation | Excel Sheet Column Title | Factorial Trailing Zeroes | Fibonacci Number | Find All Anagrams in a String | Find Distance in a Binary Tree | Find First and Last Position of Element in Sorted Array | Find K Closest Elements | Find Median from Data Stream | Find Minimum in Rotated Sorted Array | Find the Closest Palindrome | First Unique Character in a String | Flatten a Multilevel Doubly Linked List | Frog Jump | Generate Parentheses | Group Anagrams | HTML Entity Parser | Implement Stack using Queues | Implement Trie | Kth Largest Element in an Array | Largest BST Subtree | Largest Number | Letter Combinations of a Phone Number | LFU Cache | Linked List Cycle | Longest Increasing Subsequence | Longest Palindromic Subsequence | Longest Palindromic Substring | Longest Substring Without Repeating Characters | Longest Valid Parentheses | Lowest Common Ancestor of a Binary Tree | LRU Cache | Max Area of Island | Max Points on a Line | Maximize Value of Function in a Ball Passing Game | Maximum Level Sum of a Binary Tree | Maximum Number of Non-overlapping Palindrome Substrings | Maximum Profit in Job Scheduling | Maximum Subarray | Meeting Rooms II | Merge Intervals | Merge k Sorted Lists | Merge Sorted Array | Merge Two Sorted Lists | Min Cost to Connect All Points | Min Stack | Minimize Maximum of Array | Minimum Cost to Make Array Equal | Minimum Index Sum of Two Lists | Minimum Number of Taps to Open to Water a Garden | Minimum One Bit Operations to Make Integers Zero | Minimum Path Sum | Minimum Window Substring | Non-overlapping Intervals | Number of 1 Bits | Number of Islands | Number of Unique Good Subsequences | Pairs of Songs With Total Durations Divisible by 60 | Path Sum | Path Sum II | Permutation in String | Permutations | Populating Next Right Pointers in Each Node | Pow(x, n) | Product of Array Except Self | Range Module | Rearranging Fruits | Remove Duplicate Letters | Reorganize String | Reverse Integer | Reverse Linked List II | Roman to Integer | Search a 2D Matrix | Search a 2D Matrix II | Search in Rotated Sorted Array | Search Suggestions System | Second Highest Salary | Serialize and Deserialize Binary Tree | Shifting Letters | Shortest Path in Binary Matrix | Sliding Window Maximum | Smallest Subsequence of Distinct Characters | Sort Array by Increasing Frequency | Spiral Matrix | Split Linked List in Parts | Subarray Sum Equals K | Subarrays with K Different Integers | Substring with Concatenation of All Words | Super Egg Drop | Text Justification | Time Based Key-Value Store | Top K Frequent Elements | Trapping Rain Water | Two Sum | Unique Paths | Unique Paths II | Valid Palindrome II | Valid Parentheses | Validate Binary Search Tree | Verify Preorder Sequence in Binary Search Tree | Word Break"
"Osmosiss","1","Linked List Cycle"
"OT","1","Reducing Dishes"
"oyo","19","Candy | Coin Change II | Combination Sum IV | Copy List with Random Pointer | Design HashMap | Excel Sheet Column Title | Implement Stack using Queues | Is Graph Bipartite? | Kth Largest Element in an Array | Letter Combinations of a Phone Number | Linked List Cycle | Longest Increasing Subsequence | LRU Cache | Maximum Level Sum of a Binary Tree | Maximum Profit in Job Scheduling | Permutations | Search in Rotated Sorted Array | Sliding Window Maximum | Spiral Matrix"
"Ozon","1","Number of Islands"
"Palantir","1","LRU Cache"
"Palantir Technologies","6","All Ancestors of a Node in a Directed Acyclic Graph | Check If It Is a Straight Line | Find Players With Zero or One Losses | Selling Pieces of Wood | Shortest Path to Get All Keys | UTF-8 Validation"
"Palo Alto Networks","1","Find the Longest Equal Subarray"
"Park+","5","Coin Change II | Linked List Cycle | Reverse Linked List II | Search in Rotated Sorted Array | Word Break"
"PayPal","48","Amount of Time for Binary Tree to Be Infected | Best Time to Buy and Sell Stock | Break a Palindrome | Count Array Pairs Divisible by K | Count the Number of Vowel Strings in Range | Count Vowel Strings in Ranges | Design HashMap | Find Median from Data Stream | Find the Duplicate Number | Frog Jump | Happy Number | Implement Stack using Queues | Kth Largest Element in an Array | Linked List Cycle | Longest Increasing Subsequence | Longest Substring Without Repeating Characters | Loud and Rich | LRU Cache | Maximum Frequency Score of a Subarray | Maximum Level Sum of a Binary Tree | Maximum Number of Integers to Choose From a Range I | Maximum Number of Integers to Choose From a Range II | Maximum Sum Obtained of Any Permutation | Median of Two Sorted Arrays | Meeting Rooms III | Meeting Scheduler | Minimum Deletions to Make Character Frequencies Unique | Minimum Non-Zero Product of the Array Elements | Number of Dice Rolls With Target Sum | Number of Islands | Number of Valid Move Combinations On Chessboard | Paint House III | Pow(x, n) | Process Tasks Using Servers | Reorganize String | Reverse Linked List II | Reverse Substrings Between Each Pair of Parentheses | Reverse Words in a String III | Search in Rotated Sorted Array | Shortest Path to Get All Keys | Similar String Groups | Sliding Window Maximum | Smallest Greater Multiple Made of Two Digits | Squares of a Sorted Array | Time Needed to Rearrange a Binary String | Trapping Rain Water | Two Sum | ZigZag Conversion"
"PayPay","1","Largest 3-Same-Digit Number in String"
"PayTM","34","Add Two Numbers II | All Nodes Distance K in Binary Tree | Coin Change II | Copy List with Random Pointer | Distribute Candies to People | Excel Sheet Column Title | Find Indices With Index and Value Difference I | Find Indices With Index and Value Difference II | Find the Duplicate Number | Implement Stack using Queues | Interleaving String | Is Subsequence | Linked List Cycle | Longest Increasing Subsequence | Longest Nice Subarray | LRU Cache | Maximum Subarray | Median of Two Sorted Arrays | Minimize Maximum of Array | Minimum Depth of Binary Tree | Minimum Insertion Steps to Make a String Palindrome | Number of Dice Rolls With Target Sum | Number of Unequal Triplets in Array | Partition List | Permutations | Pow(x, n) | Reverse Linked List II | Reverse Words in a String III | Search in Rotated Sorted Array | Sliding Window Maximum | Sort Array By Parity | Spiral Matrix | Unique Paths | Unique Paths II"
"payu","3","Count Operations to Obtain Zero | Jump Game II | Reverse Words in a String III"
"peak6","2","Coordinate With Maximum Network Quality | Maximum Profit of Operating a Centennial Wheel"
"PegaSystems","5","Add Two Numbers II | Copy List with Random Pointer | Find the Duplicate Number | Is Graph Bipartite? | Linked List Cycle"
"PeopleStrong","1","Counting Bits"
"persistent systems","2","Linked List Cycle | Minimum Bit Flips to Convert Number"
"Philips","1","Implement Stack using Queues"
"Phone Pe","2","Linked List Cycle | Longest Increasing Subsequence"
"PhonePe","24","Binary Tree Cameras | Check if Point Is Reachable | Complete Binary Tree Inserter | Cracking the Safe | Decoded String at Index | Distribute Coins in Binary Tree | Escape the Spreading Fire | Find Minimum Time to Finish All Jobs | Knight Probability in Chessboard | Maximum Profit in Job Scheduling | Maximum Sum of Two Non-Overlapping Subarrays | Maximum Tastiness of Candy Basket | Minimum Depth of Binary Tree | Minimum Jumps to Reach Home | Minimum Speed to Arrive on Time | Partition Array Into Two Arrays to Minimize Sum Difference | Search a 2D Matrix | Search in Rotated Sorted Array | Shortest Path in a Grid with Obstacles Elimination | Shortest Path to Get All Keys | Simple Bank System | Smallest String With Swaps | Sum of Subarray Minimums | Swim in Rising Water"
"Physicswallah company","1","Unique Paths"
"Pickrr","1","Longest Substring of One Repeating Character"
"Pinterest","18","Accounts Merge | Alien Dictionary | Clone Graph | Count Subarrays With Score Less Than K | Employee Free Time | Find Median Given Frequency of Numbers | Find the Celebrity | Is Subsequence | Jump Game III | Maximum Profit in Job Scheduling | Minimize Result by Adding Parentheses to Expression | Number of Connected Components in an Undirected Graph | Parallel Courses III | Shortest Path in a Grid with Obstacles Elimination | Shortest Way to Form String | Smallest Range Covering Elements from K Lists | Text Justification | Word Pattern II"
"Piramal Group","1","Longest Increasing Subsequence"
"Pocket Gems","2","Basic Calculator III | Non-negative Integers without Consecutive Ones"
"Point72","5","Evaluate Boolean Expression | Replace Employee ID With The Unique Identifier | Restaurant Growth | Top Travellers | Weather Type in Each Country"
"Polar","1","Longest Non-decreasing Subarray From Two Arrays"
"Policbazar","1","LRU Cache"
"Policybazar.com","2","Minimize the Maximum Difference of Pairs | Minimum Depth of Binary Tree"
"Pony.ai","3","K-th Smallest Prime Fraction | Maximum Profit in Job Scheduling | Minimum Sideway Jumps"
"Poshmark","3","Count Unguarded Cells in the Grid | Market Analysis I | Market Analysis II"
"Postmates","4","Determine if Two Strings Are Close | Find the K-Beauty of a Number | Most Beautiful Item for Each Query | Print Words Vertically"
"Practo","4","Coin Change II | Reconstruct Itinerary | Search in Rotated Sorted Array | Sliding Window Maximum"
"Pramp","1","Meeting Scheduler"
"Pristyn Care","2","Kth Largest Element in an Array | Reverse Linked List II"
"Prop Tiger","1","Excel Sheet Column Title"
"Proschant India","1","Peak Index in a Mountain Array"
"Proteum","2","Add Two Numbers II | Search in Rotated Sorted Array"
"Protium","1","Linked List Cycle"
"Providence Global Center LLP","1","Linked List Cycle"
"Prystin Care","1","Search in Rotated Sorted Array"
"Publicis Sapient","14","01 Matrix | Add Two Numbers II | Coin Change II | Frog Jump | Implement Stack using Queues | Linked List Cycle | LRU Cache | Minimum Cost to Make Array Equal | Permutations | Reverse Linked List II | Search a 2D Matrix | Shortest Path in Binary Matrix | Sum of Subsequence Widths | Valid Permutations for DI Sequence"
"Pure Storage","4","Design Skiplist | Longest Increasing Subsequence | Maximum Repeating Substring | Valid Square"
"Purplle","1","Maximum Element-Sum of a Complete Subset of Indices"
"PwC India","1","Coin Change II"
"Quadrical AI","2","Is Subsequence | Reverse Linked List II"
"Qualcomm","13","Counting Bits | Find the Duplicate Number | Find the Index of the First Occurrence in a String | Implement Stack using Queues | Linked List Cycle | Longest Palindromic Substring | LRU Cache | Maximum Number of Ones | Middle of the Linked List | Minimum Number of Work Sessions to Finish the Tasks | Reverse Bits | Reverse Linked List II | Search in Rotated Sorted Array"
"Qualtrics","20","3Sum | Binary Tree Right Side View | Cheapest Flights Within K Stops | First Unique Character in a String | Fixed Point | Jump Game | Letter Combinations of a Phone Number | Longest Consecutive Sequence | Max Area of Island | Minimum Number of Steps to Make Two Strings Anagram | Number of Islands | Reorganize String | Sort Integers by The Power Value | Summary Ranges | Trapping Rain Water | Unique Paths | Unique Paths II | Validate Binary Search Tree | Word Break | Word Ladder"
"Qualys","2","Find First and Last Position of Element in Sorted Array | Search in Rotated Sorted Array"
"Quantiphi","1","Number of Dice Rolls With Target Sum"
"Quble","1","Check If Array Pairs Are Divisible by k"
"Quest Tech","1","Search a 2D Matrix"
"Quikr","6","Linked List Cycle | Longest Increasing Subsequence | Longest Palindromic Substring | Pow(x, n) | Sliding Window Maximum | Text Justification"
"Quince","1","Maximum Alternating Subsequence Sum"
"Quinstreet Software","1","Unique Paths II"
"Quip (Salesforce)","1","Special Binary String"
"Quip(Salesforce)","2","Decrypt String from Alphabet to Integer Mapping | Exam Room"
"Quizizz Inc.","2","Asteroid Collision | Longest Increasing Subsequence"
"Quora","13","Construct Target Array With Multiple Sums | Encode Number | Exam Room | Find the K-Beauty of a Number | Finding Pairs With a Certain Sum | Get Biggest Three Rhombus Sums in a Grid | Longest Common Prefix | Maximum Number of Words You Can Type | Number of Subarrays with Bounded Maximum | Range Frequency Queries | Sliding Window Maximum | Subarray Sum Equals K | Substrings of Size Three with Distinct Characters"
"Raja software","1","Implement Stack using Queues"
"Rakuten","3","Design HashMap | Linked List Cycle | Sum of Floored Pairs"
"Rapido","1","Linked List Cycle"
"Razorpay","3","Minimum Total Cost to Make Arrays Unequal | Sliding Window Maximum | Two Best Non-Overlapping Events"
"RBC","1","Roman to Integer"
"RBS","1","LRU Cache"
"Recrosoft","1","Reverse Linked List II"
"Red Hat","1","Implement Stack using Queues"
"RedBus","3","Linked List Cycle | Reverse Linked List II | Search in Rotated Sorted Array"
"Reddit","4","Combination Sum II | Number of Ways to Buy Pens and Pencils | Subsets | Text Justification"
"Redfin","2","String Compression | String to Integer (atoi)"
"Reliance","1","Design HashMap"
"Reliance Jio Infocomm Ltd","1","Reverse Linked List II"
"Remitly","1","Task Scheduler II"
"RetailMeNot","1","Subsequence of Size K With the Largest Even Sum"
"Riot Games","1","Teemo Attacking"
"Rippling","2","Coin Change II | Search in Rotated Sorted Array"
"RIVIGO","1","Linked List Cycle"
"Robinhood","10","Alert Using Same Key-Card Three or More Times in a One Hour Period | Brightest Position on Street | Capital Gain/Loss | Check if There is a Valid Path in a Grid | Count Good Meals | Count the Number of Consistent Strings | Course Schedule II | Insert Intervals | Number of Orders in the Backlog | Ways to Split Array Into Three Subarrays"
"Roblox","10","Count Integers in Intervals | Course Schedule II | Design Browser History | Find Peak Element | Group the People Given the Group Size They Belong To | Grumpy Bookstore Owner | Magnetic Force Between Two Balls | Minimum Falling Path Sum II | Number of Matching Subsequences | Split Message Based on Limit"
"Robolox","4","Count Number of Nice Subarrays | Minimum Number of Frogs Croaking | Number of Trusted Contacts of a Customer | Students and Examinations"
"Rootstock Software","3","Is Subsequence | Longest Increasing Subsequence | Reverse Linked List II"
"Royal Bank of Scotland","1","Reverse Linked List II"
"Rubrik","16","Count Lattice Points Inside a Circle | Design Bounded Blocking Queue | Distribute Candies Among Children I | Distribute Candies Among Children II | Distribute Candies Among Children III | Edit Distance | Kth Smallest Number in Multiplication Table | Majority Element | Minimum Number of Refueling Stops | Next Permutation | Read N Characters Given Read4 | Rotate Image | Snapshot Array | Stamping the Grid | Task Scheduler | Trapping Rain Water"
"Rudder Analytics","2","Linked List Cycle | Unique Paths"
"Rupeek","3","Coin Change II | Find Kth Bit in Nth Binary String | Reverse Linked List II"
"RxLogix","1","Longest Palindromic Substring"
"Sabre","1","Maximum Number of Tasks You Can Assign"
"Salesforce","74","3Sum | Average Waiting Time | Beautiful Towers I | Beautiful Towers II | Best Time to Buy and Sell Stock | Binary Search Tree Iterator | Boats to Save People | Capacity To Ship Packages Within D Days | Check If a Number Is Majority Element in a Sorted Array | Check Whether Two Strings are Almost Equivalent | Construct the Lexicographically Largest Valid Sequence | Count Good Nodes in Binary Tree | Count Sorted Vowel Strings | Count the Number of Fair Pairs | Course Schedule II | Daily Temperatures | Design a Text Editor | Design HashMap | Design In-Memory File System | Find Median from Data Stream | Find the Smallest Divisor Given a Threshold | Flatten Binary Tree to Linked List | Flatten Nested List Iterator | Frog Jump | Group Anagrams | Height Checker | Integer to English Words | Interleaving String | Jump Game | Kth Largest Element in an Array | Largest Number | Last Stone Weight | Least Number of Unique Integers after K Removals | Linked List Cycle | Longest Substring Without Repeating Characters | LRU Cache | Matrix Similarity After Cyclic Shifts | Maximal Square | Maximize Grid Happiness | Maximum Number of Events That Can Be Attended | Maximum Product of Three Numbers | Maximum Subarray | Merge Intervals | Min Stack | Minimum Absolute Difference | Minimum Number of Taps to Open to Water a Garden | Minimum Time to Collect All Apples in a Tree | Missing Number | Number of Islands | Number of Operations to Make Network Connected | Pacific Atlantic Water Flow | Partition Array Into Two Arrays to Minimize Sum Difference | Permutations | Populating Next Right Pointers in Each Node | Remove Adjacent Almost-Equal Characters | Remove Duplicate Letters | Repeated Substring Pattern | Reverse Linked List II | Rotate Array | Search a 2D Matrix | Search in Rotated Sorted Array | Shortest Word Distance | Sliding Window Maximum | Smallest Subtree with all the Deepest Nodes | Sort Colors | Spiral Matrix | Stream of Characters | Sudoku Solver | Teemo Attacking | Two Sum | Unique Paths | Valid Parentheses | Word Break | Zuma Game"
"Samsung","54","Add Two Numbers II | All Nodes Distance K in Binary Tree | Build an Array With Stack Operations | Champagne Tower | Coin Change II | Counting Bits | Design Graph With Shortest Path Calculator | Design HashMap | Excel Sheet Column Title | Faulty Keyboard | Find Largest Value in Each Tree Row | Find Median from Data Stream | Find the Width of Columns of a Grid | Implement Stack using Queues | Is Graph Bipartite? | Kth Largest Element in an Array | Largest 1-Bordered Square | Linked List Cycle | Longest Increasing Path in a Matrix | Longest Increasing Subsequence | Longest Palindromic Substring | Longest Substring Without Repeating Characters | Maximum Height by Stacking Cuboids | Maximum Product of Two Elements in an Array | Maximum Subarray | Median of Two Sorted Arrays | Minimum Absolute Difference in BST | Minimum Cost of a Path With Special Roads | Minimum Distance Between BST Nodes | Minimum Insertion Steps to Make a String Palindrome | Minimum Number of Operations to Make String Sorted | Missing Number In Arithmetic Progression | Next Greater Element II | Non-overlapping Intervals | Number of Islands | Number of Longest Increasing Subsequence | Number of Nodes in the Sub-Tree With the Same Label | Number of Paths with Max Score | Number of Provinces | Partition Array Into Two Arrays to Minimize Sum Difference | Partition List | Pascal's Triangle | Path With Minimum Effort | Range Sum Query 2D - Immutable | Reorder List | Reverse Integer | Reverse Linked List II | Reverse Words in a String III | Search a 2D Matrix | Search in Rotated Sorted Array | Shortest Path in Binary Matrix | Sliding Window Maximum | Stone Game IX | Two Sum"
"SAP","17","Add Two Numbers | Can Make Arithmetic Progression From Sequence | Count Increasing Quadruplets | Count Primes | Count the Number of Infection Sequences | Longest Common Prefix | Maximum Employees to Be Invited to a Meeting | Maximum Number of Weeks for Which You Can Work | Maximum Path Quality of a Graph | Maximum Students Taking Exam | Minimum Deletions to Make Character Frequencies Unique | Monotone Increasing Digits | Movie Rating | Number of Islands | Permutations | Prison Cells After N Days | Sort Array By Parity"
"SAP Labs","13","Add Two Numbers II | Coin Change II | Design HashMap | Frog Jump | Implement Stack using Queues | Linked List Cycle | Longest Palindromic Substring | Minimum Difficulty of a Job Schedule | Reverse Linked List II | Reverse Words in a String III | Search in Rotated Sorted Array | Spiral Matrix | Unique Paths"
"Sapient","1","Trapping Rain Water"
"Sapient Corporation","1","Longest Palindromic Substring"
"Schlumberger","1","Reverse Linked List II"
"ServiceNow","20","Best Time to Buy and Sell Stock | Binary Tree Level Order Traversal | Find Median from Data Stream | Group Anagrams | Longest Palindromic Substring | Maximum Subarray | Median of Two Sorted Arrays | Number of Distinct Roll Sequences | Number of Distinct Substrings in a String | Number of Islands | Pairs of Songs With Total Durations Divisible by 60 | Palindrome Linked List | Pascal's Triangle | Rectangle Overlap | Search in Rotated Sorted Array | Subarray Sum Equals K | Sum Root to Leaf Numbers | Trapping Rain Water | Valid Parentheses | Vowels of All Substrings"
"ShareChat","10","Amount of Time for Binary Tree to Be Infected | Find Eventual Safe States | LFU Cache | Longest Increasing Subsequence | Maximum Count of Positive Integer and Negative Integer | Number of Dice Rolls With Target Sum | Search in Rotated Sorted Array | Single Number II | Unique Binary Search Trees II | Word Break"
"Shell india","1","Linked List Cycle"
"Shopee","10","Construct Binary Tree from Inorder and Postorder Traversal | Count Pairs in Two Arrays | LRU Cache | Maximum Subarray | Merge Intervals | Merge k Sorted Lists | Merge Sorted Array | Merge Two Sorted Lists | Number of Islands | Palindrome Pairs"
"Shrine Software","1","Reverse Linked List II"
"Siemens","7","Linked List Cycle | Longest Subarray With Maximum Bitwise AND | LRU Cache | Maximum Length of Pair Chain | Minimized Maximum of Products Distributed to Any Store | Number of Islands | Search in Rotated Sorted Array"
"Sigmoid","1","Search in Rotated Sorted Array"
"Silicon Labs","1","Kth Largest Element in an Array"
"Slice","3","Maximum Earnings From Taxi | Minimum Depth of Binary Tree | Number of Ways to Form a Target String Given a Dictionary"
"SLK SOFTWARE","2","Interleaving String | Linked List Cycle"
"Smartnews","1","Largest Palindromic Number"
"Snap","1","Shortest Bridge"
"Snapchat","54","Add Binary | Alien Dictionary | Android Unlock Patterns | Basic Calculator | Basic Calculator II | Basic Calculator III | Binary Tree Maximum Path Sum | Cheapest Flights Within K Stops | Combination Sum IV | Decode String | Design Search Autocomplete System | Different Ways to Add Parentheses | Divide Chocolate | Evaluate Division | Find Peak Element | Frog Jump | Game of Life | Implement Trie | Jump Game III | Knight Dialer | Largest Merge Of Two Strings | Least Operators to Express Number | LFU Cache | Longest Increasing Path in a Matrix | LRU Cache | Meeting Rooms II | Merge Intervals | Minimum Area Rectangle | Minimum Height Trees | Minimum Number of Refueling Stops | Minimum Remove to Make Valid Parentheses | Minimum Window Substring | Number of Islands | Number of Subsequences That Satisfy the Given Sum Condition | Pascal's Triangle | Power of Two | Predict the Winner | Reverse Words in a String III | Shortest Path in a Grid with Obstacles Elimination | Shortest Path in Binary Matrix | Smallest Range Covering Elements from K Lists | Sparse Matrix Multiplication | Subarray Sums Divisible by K | Ternary Expression Parser | Text Justification | The Maze | Trapping Rain Water | Unique Paths | Word Abbreviation | Word Break II | Word Ladder | Word Ladder II | Word Search | Word Search II"
"Snapdeal","11","Binary Tree Inorder Traversal | Build an Array With Stack Operations | Copy List with Random Pointer | Counting Bits | Implement Stack using Queues | Kth Largest Element in an Array | Linked List Cycle | Longest Arithmetic Subsequence | Maximum Level Sum of a Binary Tree | Maximum Value at a Given Index in a Bounded Array | Search in Rotated Sorted Array"
"Snowflake","11","Calculate Amount Paid in Taxes | Maximum Product of the Length of Two Palindromic Subsequences | Maximum Profit From Trading Stocks | Maximum Profit in Job Scheduling | Minimum Array Length After Pair Removals | Number of Islands | Number of Ways to Form a Target String Given a Dictionary | Populating Next Right Pointers in Each Node | Populating Next Right Pointers in Each Node II | Smallest Range II | String Transformation"
"Societe Generale","1","Minimum Number of Swaps to Make the Binary String Alternating"
"Softwire","1","Second Largest Digit in a String"
"Sony","2","Reducing Dishes | Subtree Removal Game with Fibonacci Tree"
"Soroco","1","Sliding Window Maximum"
"Spinny","9","Avoid Flood in The City | Find the Winner of an Array Game | Letter Combinations of a Phone Number | Linked List Cycle | Longest Increasing Subsequence | Minimum Jumps to Reach Home | Minimum Number of Taps to Open to Water a Garden | Reverse Linked List II | Search in Rotated Sorted Array"
"Splunk","4","Find the Duplicate Number | Maximum Level Sum of a Binary Tree | Search in Rotated Sorted Array | Sliding Window Maximum"
"Spotify","19","Analyze User Website Visit Pattern | Balanced Binary Tree | Find Median from Data Stream | Kth Largest Element in an Array | Leetcodify Friends Recommendations | Leetcodify Similar Friends | Linked List Cycle | Longest Consecutive Sequence | Longest Substring Without Repeating Characters | Lowest Common Ancestor of a Binary Tree III | Maximum Depth of Binary Tree | Moving Average from Data Stream | Ransom Note | Remove All Adjacent Duplicates in String II | Sliding Window Median | Step-By-Step Directions From a Binary Tree Node to Another | Two Sum | Valid Anagram | Valid Parentheses"
"Sprinklr","31","Add Two Numbers II | Apply Bitwise Operations to Make Strings Equal | Apply Operations on Array to Maximize Sum of Squares | Binary Tree Maximum Path Sum | Can Make Arithmetic Progression From Sequence | Choose Edges to Maximize Score in a Tree | Closest Subsequence Sum | Copy List with Random Pointer | Count Valid Paths in a Tree | Create Components With Same Value | Design HashMap | Find All Possible Recipes from Given Supplies | Interleaving String | Kth Largest Element in an Array | Longest Palindromic Substring | LRU Cache | Making A Large Island | Max Points on a Line | Maximum Subarray Sum After One Operation | Merge k Sorted Lists | Minimize the Maximum Difference of Pairs | Minimum Edge Weight Equilibrium Queries in a Tree | Minimum Number of Food Buckets to Feed the Hamsters | Next Greater Numerically Balanced Number | Number of Great Partitions | Number of Same-End Substrings | Odd Even Jump | Robot Collisions | Shortest Path in Binary Matrix | Sum of Matrix After Queries | Sum Of Special Evenly-Spaced Elements In Array"
"Square","17","Available Captures for Rook | Buddy Strings | Bus Routes | Count Nice Pairs in an Array | Design a Text Editor | Design Snake Game | Falling Squares | Minimum Path Sum | Number of Black Blocks | Number of Islands | Pancake Sorting | Rank Teams by Votes | Squirrel Simulation | Text Justification | The Maze | Unique Morse Code Words | Walking Robot Simulation II"
"SS SUPPLY CHAIN SOLUTIONS PVT LTD","1","Unique Paths"
"Standard Chartered Bank","1","Coin Change II"
"StartUp","2","Calculate Salaries | Group Sold Products By The Date"
"Sterlite Technologies Limited","2","Linked List Cycle | Reverse Linked List II"
"Stigentech IT","1","Reverse Linked List II"
"Strategic IP Information Pte Ltd.","1","Linked List Cycle"
"Strava","1","Count the Number of Experiments"
"Stripe","1","Minimum Penalty for a Shop"
"Sumologic","5","Decode String | K Closest Points to Origin | Lowest Common Ancestor of a Binary Tree | Lowest Common Ancestor of a Binary Tree III | Satisfiability of Equality Equations"
"Surya Software Systems","1","Reverse Linked List II"
"Swiggy","10","Container With Most Water | Design HashMap | Letter Combinations of a Phone Number | Linked List Cycle | LRU Cache | Maximize Area of Square Hole in Grid | Maximum Profit in Job Scheduling | Minimum Difficulty of a Job Schedule | Rabbits in Forest | Unique Binary Search Trees II"
"Symphony Talent, LLC","1","Linked List Cycle"
"Synopsys","2","Linked List Cycle | Reverse Linked List II"
"Sysvin","1","Kth Largest Element in an Array"
"T System","1","Grid Game"
"TA Digital","1","Number of Possible Sets of Closing Branches"
"Tailnode","1","Single Number II"
"TandemG","1","Partition Array into Disjoint Intervals"
"Tata","1","Median of Two Sorted Arrays"
"Tata 1mg","1","Number of Dice Rolls With Target Sum"
"Tata Cliq","1","Linked List Cycle"
"Tata Consultancy Services (TCS)","1","Implement Stack using Queues"
"tcs","39","Add Two Numbers II | Best Time to Buy and Sell Stock | Binary Tree Preorder Traversal | Can Make Arithmetic Progression From Sequence | Candy | Coin Change II | Contains Duplicate | Count the Digits That Divide a Number | Design HashMap | Find in Mountain Array | Find the Duplicate Number | Integer Break | Kth Largest Element in an Array | Linked List Cycle | Longest Increasing Subsequence | LRU Cache | Maximum Ascending Subarray Sum | Min Cost to Connect All Points | Minimum ASCII Delete Sum for Two Strings | Minimum Cuts to Divide a Circle | Minimum Number of Refueling Stops | Move Zeroes | Number of Longest Increasing Subsequence | Palindrome Partitioning IV | Pascal's Triangle | Path With Minimum Effort | Peak Index in a Mountain Array | Permutations | Pow(x, n) | Remove Letter To Equalize Frequency | Reverse Linked List II | Reverse String | Roman to Integer | Rotate Array | Search in Rotated Sorted Array | Second Highest Salary | Shortest Path Visiting All Nodes | Single Number II | Valid Parentheses"
"Tech Mahindra","1","Minimum Number of Vertices to Reach All Nodes"
"Tech Vedika","1","Coin Change II"
"Techwave Consulting","1","Validate Binary Tree Nodes"
"Tekion","2","Count the Number of Infection Sequences | Minimum Jumps to Reach Home"
"Tekion Corp","3","Linked List Cycle | Longest Increasing Subsequence | Reverse Linked List II"
"Tencent","2","Minimum Factorization | Search in Rotated Sorted Array"
"Teradata","1","Implement Stack using Queues"
"Tesco","1","Is Subsequence"
"Tesla","15","3Sum | Basic Calculator II | Find Followers Count | Find Winner on a Tic Tac Toe Game | Generate Parentheses | Jump Game II | Largest Perimeter Triangle | Maximal Network Rank | Maximum Length of a Concatenated String with Unique Characters | Minimum Changes To Make Alternating Binary String | Minimum Time to Make Rope Colorful | Number of Islands | Sliding Window Maximum | Spiral Matrix III | Trapping Rain Water"
